,time HR,HR,time ET,ET,time EH,EH,time ST,ST,time GSR,GSR,time Acc,Acc,time SR,SR,time Risk,Risk,time HI Risk,HI Risk,time CT Risk,CT Risk,time LR Risk,LR Risk,time est CT,est CT
28,1488326740.170885,80.0,1488326741.340112,30.38,1488326739.990832,0.5806,,,1488326740.0808582,752.0,,,,,1488326845.648911,0.05913992567201287,1488326845.648911,0.1762772684703566,1488326845.648911,0.0010523234156974708,1488326845.648911,9.018512998454993e-05,1488326740.170885,37.23803520790761
29,1488326741.6409721,81.0,1488326742.8401768,30.47,1488326741.461066,0.5825,,,1488326741.5515368,789.0,,,,,1488326850.767745,0.06063695067593571,1488326850.767745,0.18076746641355043,1488326850.767745,0.0010439109248324325,1488326850.767745,9.947468942424736e-05,1488326741.6409721,37.22937016536771
30,1488326743.1109319,81.0,1488326744.28065,30.53,1488326742.930838,0.5845,,,1488326743.021427,822.0,,,,,1488326855.896018,0.06148572748040132,1488326855.896018,0.18329394625921766,1488326855.896018,0.0010619027980648362,1488326855.896018,0.00010133338392145576,1488326743.1109319,37.22103067983747
31,1488326744.580506,81.0,1488326745.750884,30.6,1488326744.430814,0.588,,,1488326744.491303,835.0,,,,,1488326860.9918458,0.06288985897955636,1488326860.9918458,0.1874794355497835,1488326860.9918458,0.0010798912979961646,1488326860.9918458,0.0001102500908894391,1488326744.580506,37.21301639079917
32,1488326746.0513651,82.0,1488326747.220324,30.65,1488326745.900488,0.5895,,,1488326745.961361,827.0,,,,,1488326866.089105,0.06373048690724185,1488326866.089105,0.18998775062410714,1488326866.089105,0.0010912035229082402,1488326866.089105,0.00011250657471018597,1488326746.0513651,37.20640313077861
33,1488326747.520881,83.0,1488326748.6916878,30.7,1488326747.37084,0.5895,,,1488326747.460282,483.0,,,,,1488326871.182952,0.06484573359704905,1488326871.182952,0.19331763440877808,1488326871.182952,0.0011013248917283885,1488326871.182952,0.00011824149064069221,1488326747.520881,37.201150277368725
34,1488326748.991819,83.0,1488326750.190719,30.77,1488326748.8414452,0.59,,,1488326748.9354932,435.0,,,,,1488326876.28396,0.06577273211632743,1488326876.28396,0.19607719772032822,1488326876.28396,0.0011126606735704816,1488326876.28396,0.00012833795508358125,1488326748.991819,37.196122479729645
35,1488326750.491064,85.0,1488326751.660458,30.83,1488326750.3109162,0.5902000000000001,,,1488326750.401141,474.0,,,,,1488326881.3808022,0.06623635600360746,1488326881.3808022,0.19745983160369207,1488326881.3808022,0.001119781743271951,1488326881.3808022,0.00012945466385832585,1488326750.491064,37.19350697955852
36,1488326751.9606621,87.0,1488326753.131147,30.89,1488326751.784756,0.5929,,,1488326751.872555,732.0,,,,,1488326886.491851,0.06752743008143554,1488326886.491851,0.20131161689204846,1488326886.491851,0.001131556142234246,1488326886.491851,0.00013911721002390827,1488326751.9606621,37.193210035351306
37,1488326753.4611042,88.0,1488326754.600373,30.96,1488326753.252059,0.5987,,,1488326753.341266,807.0,,,,,1488326891.60579,0.06864092649627769,1488326891.60579,0.20459750177153097,1488326891.60579,0.0011713875925660202,1488326891.60579,0.0001538901247361026,1488326753.4611042,37.19403074888111
38,1488326754.900616,88.0,1488326756.071035,31.06,1488326754.7509508,0.6089,,,1488326754.811158,920.0,,,,,1488326896.702865,0.06940009104733662,1488326896.702865,0.20678221429564927,1488326896.702865,0.0012488444234334494,1488326896.702865,0.00016921442292710387,1488326754.900616,37.194813294632226
39,1488326756.37097,87.0,1488326757.540672,31.1,1488326756.220861,0.6312,,,1488326756.281227,980.0,,,,,1488326901.80946,0.07032428535956202,1488326901.80946,0.20950702315093822,1488326901.80946,0.001283371323060379,1488326901.80946,0.0001824616046874508,1488326756.37097,37.19444962621805
40,1488326757.841284,86.0,1488326759.01791,31.17,1488326757.691307,0.6494,,,1488326757.7807019,507.0,,,,,1488326906.9389539,0.07124158840316937,1488326906.9389539,0.21222345326657546,1488326906.9389539,0.0013052559951788507,1488326906.9389539,0.00019605594775375164,1488326757.841284,37.192990906344704
41,1488326759.311312,85.0,1488326760.5111969,31.24,1488326759.161551,0.6573,,,1488326759.250905,350.0,,,,,1488326912.0656042,0.07197741401222273,1488326912.0656042,0.21437934476339535,1488326912.0656042,0.001328601666308589,1488326912.0656042,0.0002242956069642754,1488326759.311312,37.190486240567814
42,1488326760.811381,84.0,1488326761.9513721,31.31,1488326760.6315892,0.6568,,,1488326760.721452,473.0,,,,,1488326917.200269,0.07282095013248253,1488326917.200269,0.216849972761662,1488326917.200269,0.0014183611427229818,1488326917.200269,0.00019451649306263357,1488326760.811381,37.18698281508312
43,1488326762.2812989,83.0,1488326763.451482,31.37,1488326762.1016068,0.6557999999999999,,,1488326762.191328,356.0,,,,,1488326922.3811111,0.07325971171457,1488326922.3811111,0.21824868224825253,1488326922.3811111,0.0013878561603771727,1488326922.3811111,0.00014259673508029786,1488326762.2812989,37.18252601693676
44,1488326763.751349,83.0,1488326764.921505,31.44,1488326763.5718489,0.6666,,,1488326763.661248,154.0,,,,,1488326927.5784802,0.07378990249388297,1488326927.5784802,0.21989297399264957,1488326927.5784802,0.001356559952004103,1488326927.5784802,0.00012017353699523265,1488326763.751349,37.17828177222349
45,1488326765.220701,82.0,1488326766.39136,31.51,1488326765.042071,0.6712,,,1488326765.132201,483.0,,,,,1488326932.767842,0.0744060872183749,1488326932.767842,0.22177518917541675,1488326932.767842,0.0013216230104464047,1488326932.767842,0.00012144946926155372,1488326765.220701,37.173117230399264
46,1488326766.691612,83.0,1488326767.8613682,31.52,1488326766.5414898,0.6809000000000001,,,1488326766.601579,481.0,,,,,1488326937.928808,0.07484403640424625,1488326937.928808,0.22310072745933723,1488326937.928808,0.0012949052160075808,1488326937.928808,0.0001364765373939367,1488326766.691612,37.16932849046058
47,1488326768.161681,82.0,1488326769.331562,31.57,1488326768.041395,0.6887000000000001,,,1488326768.0718982,478.0,,,,,1488326943.214901,0.07528101584400647,1488326943.214901,0.2244189692562972,1488326943.214901,0.0012650300551137288,1488326943.214901,0.0001590482206084885,1488326768.161681,37.16459651728195
48,1488326769.631825,81.0,1488326770.802051,31.63,1488326769.481725,0.6929000000000001,,,1488326769.571418,491.0,,,,,1488326948.383023,0.07624856794038076,1488326948.383023,0.22735833963191937,1488326948.383023,0.0012217432518285424,1488326948.383023,0.00016562093739436653,1488326769.631825,37.15896611478913
49,1488326771.10207,78.0,1488326772.2722602,31.68,1488326770.951621,0.6956,,,1488326771.042162,474.0,,,,,1488326953.5971358,0.07659928384851301,1488326953.5971358,0.2284213945609085,1488326953.5971358,0.0012044316617704689,1488326953.5971358,0.00017202532286008604,1488326771.10207,37.15021694128887
50,1488326772.6016588,77.0,1488326773.742383,31.76,1488326772.4216619,0.6972,,,1488326772.511254,472.0,,,,,1488326958.7743402,0.0774031521250428,1488326958.7743402,0.23080963612431674,1488326958.7743402,0.001208518305582124,1488326958.7743402,0.00019130194522953438,1488326772.6016588,37.14076080144589
51,1488326774.071917,75.0,1488326775.2415931,31.81,1488326773.891832,0.698,,,1488326774.0162718,456.0,,,,,1488326964.211225,0.07809913717919359,1488326964.211225,0.2329278712835105,1488326964.211225,0.001165647484348028,1488326964.211225,0.00020389276972224938,1488326774.071917,37.12949660539207
52,1488326775.541427,75.0,1488326776.711772,31.85,1488326775.3615859,0.6981999999999999,,,1488326775.481654,451.0,,,,,1488326969.3835251,0.07870819991726875,1488326969.3835251,0.23477055413747622,1488326969.3835251,0.001127337227866858,1488326969.3835251,0.00022670838646315173,1488326775.541427,37.118785669743104
53,1488326777.011848,75.0,1488326778.181639,31.9,1488326776.861218,0.6970000000000001,,,1488326776.9237928,477.0,,,,,1488326974.710832,0.07949987827676076,1488326974.710832,0.23714176525832728,1488326974.710832,0.0011070110710608594,1488326974.710832,0.0002508585008941315,1488326777.011848,37.10860630847745
54,1488326778.481628,76.0,1488326779.651623,31.95,1488326778.3327491,0.6960999999999999,,,1488326778.3935418,467.0,,,,,1488326979.8731341,0.07995678230571904,1488326979.8731341,0.23844686880670055,1488326979.8731341,0.001130732223857552,1488326979.8731341,0.0002927458865990337,1488326778.481628,37.10007850941895
55,1488326779.951941,76.0,1488326781.122046,31.97,1488326779.8013911,0.6948000000000001,,,1488326779.891294,475.0,,,,,1488326985.072347,0.0807716793015772,1488326985.072347,0.24081263358942379,1488326985.072347,0.0011740716009051788,1488326985.072347,0.000328332714402655,1488326779.951941,37.09198294428445
56,1488326781.4229279,77.0,1488326782.593091,32.07,1488326781.271768,0.6934999999999999,,,1488326781.36131,741.0,,,,,1488326990.31642,0.08111093816129666,1488326990.31642,0.24186529390800246,1488326990.31642,0.001141384433010009,1488326990.31642,0.0003261361428775264,1488326781.4229279,37.08544390704292
57,1488326782.892257,77.0,1488326784.0622878,32.12,1488326782.741814,0.6908,,,1488326782.831887,743.0,,,,,1488326995.483685,0.08162630963045203,1488326995.483685,0.24344063805255076,1488326995.483685,0.0011088183703849817,1488326995.483685,0.00032947246842035587,1488326782.892257,37.07924136945628
58,1488326784.3915908,78.0,1488326785.532186,32.15,1488326784.213176,0.6884,,,1488326784.301364,501.0,,,,,1488327000.803741,0.08180321886599763,1488327000.803741,0.24396062057770734,1488327000.803741,0.0011043769217183713,1488327000.803741,0.00034465909856720104,1488326784.3915908,37.074503701257996
59,1488326785.861511,79.0,1488326787.03136,32.2,1488326785.6822588,0.6861,,,1488326785.7719538,754.0,,,,,1488327006.028777,0.08242232080886268,1488327006.028777,0.24579268201353444,1488327006.028777,0.0011112035849127457,1488327006.028777,0.0003630768281408637,1488326785.861511,37.07115693560125
60,1488326787.331776,80.0,1488326788.502096,32.26,1488326787.1524029,0.6837000000000001,,,1488326787.241882,788.0,,,,,1488327011.2434251,0.08287194281955654,1488327011.2434251,0.2470968628386541,1488327011.2434251,0.0011312562355825213,1488327011.2434251,0.0003877093844329998,1488326787.331776,37.06912939431105
61,1488326788.801773,80.0,1488326789.971963,32.31,1488326788.651947,0.6819,,,1488326788.712318,511.0,,,,,1488327016.4404979,0.08322684060776518,1488327016.4404979,0.2481394412183866,1488327016.4404979,0.0011370892709056805,1488327016.4404979,0.00040399133400326453,1488326788.801773,37.06720831890062
62,1488326790.272487,80.0,1488326791.4417439,32.37,1488326790.1213481,0.6801,,,1488326790.182304,499.0,,,,,1488327021.690134,0.08412037480285313,1488327021.690134,0.25074218306041585,1488327021.690134,0.0011716521100987353,1488327021.690134,0.00044728923804481776,1488326790.272487,37.06538806364966
63,1488326791.744016,79.0,1488326792.912014,32.38,1488326791.5913332,0.6789000000000001,,,1488326791.6825979,525.0,,,,,1488327026.955422,0.08449789849513596,1488327026.955422,0.25178204221356365,1488327026.955422,0.0012355975519241294,1488327026.955422,0.0004760557199200726,1488326791.744016,37.06252058872045
64,1488326793.2121952,79.0,1488326794.38272,32.44,1488326793.06219,0.6777,,,1488326793.151466,481.0,,,,,1488327032.196088,0.08476153303905809,1488327032.196088,0.25256113484141424,1488327032.196088,0.0012380292913648874,1488327032.196088,0.00048543498439512626,1488326793.2121952,37.05980291062705
65,1488326794.682348,80.0,1488326795.852748,32.5,1488326794.532181,0.6781,,,1488326794.621577,470.0,,,,,1488327037.376878,0.08509322705304666,1488327037.376878,0.2535977536351902,1488327037.376878,0.0011926415706031205,1488327037.376878,0.0004892859533466174,1488326794.682348,37.058369540990356
66,1488326796.18224,81.0,1488326797.3522098,32.55,1488326796.0017438,0.6797,,,1488326796.0923579,499.0,,,,,1488327042.625386,0.08547137598984299,1488327042.625386,0.25463481492591966,1488327042.625386,0.0012605078611844097,1488327042.625386,0.0005188051824248827,1488326796.18224,37.05815318607982
67,1488326797.652598,81.0,1488326798.8214788,32.59,1488326797.4723158,0.6805,,,1488326797.562368,715.0,,,,,1488327047.9846919,0.085845594562451,1488327047.9846919,0.25567010420163994,1488327047.9846919,0.001317924644268265,1488327047.9846919,0.0005487548414448138,1488326797.652598,37.05794821963473
68,1488326799.122541,83.0,1488326800.291747,32.65,1488326798.942341,0.6798000000000001,,,1488326799.0319848,329.0,,,,,1488327053.207857,0.08631608167200021,1488327053.207857,0.2569624996157367,1488327053.207857,0.0013962479475737174,1488327053.207857,0.0005894974526902347,1488326799.122541,37.06003504428241
